msoa,council,period,maxincidence
Treorchy,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),260.0
Trowbridge,Cardiff,All cases,"1,529.8"
Trowbridge,Cardiff,Rolling 21 days (01 Oct - 21 Oct),273.8
Trowbridge,Cardiff,Rolling 7 days (15 Oct - 21 Oct),80.5
Ty-coch,Swansea,All cases,"1,428.7"
Ty-coch,Swansea,Rolling 21 days (01 Oct - 21 Oct),537.3
Ty-coch,Swansea,Rolling 7 days (15 Oct - 21 Oct),268.7
Tylorstown,Rhondda Cynon Taf,All cases,"3,107.1"
Tylorstown,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),692.3
Tylorstown,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),236.4
Tywyn & Llangelynnin,Gwynedd,All cases,550.6
Tywyn & Llangelynnin,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),80.6
Tywyn & Llangelynnin,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),67.1
Uplands,Swansea,All cases,"1,638.5"
Uplands,Swansea,Rolling 21 days (01 Oct - 21 Oct),814.1
Uplands,Swansea,Rolling 7 days (15 Oct - 21 Oct),298.8
Upper Colwyn Bay,Conwy,All cases,"1,357.6"
Upper Colwyn Bay,Conwy,Rolling 21 days (01 Oct - 21 Oct),514.0
Upper Colwyn Bay,Conwy,Rolling 7 days (15 Oct - 21 Oct),145.0
"Usk, Goytre & Llangybi Fawr",Monmouthshire,All cases,874.2
"Usk, Goytre & Llangybi Fawr",Monmouthshire,Rolling 21 days (01 Oct - 21 Oct),291.4
"Usk, Goytre & Llangybi Fawr",Monmouthshire,Rolling 7 days (15 Oct - 21 Oct),81.6
Victoria & Somerton,Newport,All cases,"1,037.5"
Victoria & Somerton,Newport,Rolling 21 days (01 Oct - 21 Oct),253.1
Victoria & Somerton,Newport,Rolling 7 days (15 Oct - 21 Oct),143.4
Victoria Park,Cardiff,All cases,"1,460.3"
Victoria Park,Cardiff,Rolling 21 days (01 Oct - 21 Oct),448.1
Victoria Park,Cardiff,Rolling 7 days (15 Oct - 21 Oct),<34
Welshpool,Powys,All cases,"1,368.0"
Welshpool,Powys,Rolling 21 days (01 Oct - 21 Oct),44.6
Welshpool,Powys,Rolling 7 days (15 Oct - 21 Oct),<30
West Cross,Swansea,All cases,"1,045.0"
West Cross,Swansea,Rolling 21 days (01 Oct - 21 Oct),353.5
West Cross,Swansea,Rolling 7 days (15 Oct - 21 Oct),169.0
West Gower,Swansea,All cases,599.1
West Gower,Swansea,Rolling 21 days (01 Oct - 21 Oct),236.5
West Gower,Swansea,Rolling 7 days (15 Oct - 21 Oct),126.1
West Pontnewydd & Thornhill,Torfaen,All cases,713.3
West Pontnewydd & Thornhill,Torfaen,Rolling 21 days (01 Oct - 21 Oct),312.1
West Pontnewydd & Thornhill,Torfaen,Rolling 7 days (15 Oct - 21 Oct),163.5
Whitchurch,Cardiff,All cases,"1,171.1"
Whitchurch,Cardiff,Rolling 21 days (01 Oct - 21 Oct),277.0
Whitchurch,Cardiff,Rolling 7 days (15 Oct - 21 Oct),113.3
"Whitland, Laugharne & Llansteffan",Carmarthenshire,All cases,424.6
"Whitland, Laugharne & Llansteffan",Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),136.2
"Whitland, Laugharne & Llansteffan",Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),48.1
Wrexham West,Wrexham,All cases,"2,963.8"
Wrexham West,Wrexham,Rolling 21 days (01 Oct - 21 Oct),372.0
Wrexham West,Wrexham,Rolling 7 days (15 Oct - 21 Oct),108.0
Ynysawdre & Aberkenfig,Bridgend,All cases,"1,205.8"
Ynysawdre & Aberkenfig,Bridgend,Rolling 21 days (01 Oct - 21 Oct),555.3
Ynysawdre & Aberkenfig,Bridgend,Rolling 7 days (15 Oct - 21 Oct),190.4
Yr Hendy & T?-croes,Carmarthenshire,All cases,924.6
Yr Hendy & T?-croes,Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),280.7
Yr Hendy & T?-croes,Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),132.1
Ystalyfera & Gwaun-Cae-Gurwen,Neath Port Talbot,All cases,765.0
Ystalyfera & Gwaun-Cae-Gurwen,Neath Port Talbot,Rolling 21 days (01 Oct - 21 Oct),210.4
Ystalyfera & Gwaun-Cae-Gurwen,Neath Port Talbot,Rolling 7 days (15 Oct - 21 Oct),57.4
Ystrad & Llwynypia,Rhondda Cynon Taf,All cases,"2,683.7"
Ystrad & Llwynypia,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),930.6
Ystrad & Llwynypia,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),389.6
Ystrad Mynach & Nelson,Caerphilly,All cases,"1,332.9"
Ystrad Mynach & Nelson,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),661.6
Ystrad Mynach & Nelson,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),330.8
Ystradgynlais & Tawe Uchaf,Powys,All cases,"1,336.0"
Ystradgynlais & Tawe Uchaf,Powys,Rolling 21 days (01 Oct - 21 Oct),346.4
Ystradgynlais & Tawe Uchaf,Powys,Rolling 7 days (15 Oct - 21 Oct),118.8
